ASCII data file created with TiePie Multi Channel software. www.tiepie.com.
2017-03-10 13:40:05 400m





Relative time;HS4D-5(24422).Ch4;HS4D-5(24422).Ch3;HS4D-5(24422).Ch1;HS4D-5(24422).Ch2
s;V;V;V;V
1.27015;-0.061349693;1.4177732;394.58647;394.01198
1.2702;0.11042945;1.5362615;394.18546;393.61277
1.27025;-0.10224949;1.3891726;394.18546;393.61277
1.2703;-0.036809816;1.4341164;392.98246;392.81437
1.27035;-0.073619632;1.4136874;393.38346;392.01597
1.2704;-0.028629857;1.4382022;390.97744;391.21756
1.27045;0.098159509;1.5362615;391.37845;390.81836
1.2705;-0.08997955;1.4136874;390.17544;389.22156
1.27055;0.0081799591;1.4749745;388.57143;388.42315
1.2706;0.069529652;1.5280899;387.76942;386.42715
1.27065;-0.036809816;1.4463739;385.76441;384.83034
1.2707;0.13496933;1.5607763;384.1604;383.63273
1.27075;-0.028629857;1.4463739;382.55639;381.63673
1.2708;-0.065439673;1.4177732;379.34837;378.44311
1.27085;-0.0040899796;1.4668029;377.34336;376.0479
1.2709;-0.11451943;1.3850868;373.33333;373.25349
1.27095;0.11451943;1.5403473;371.32832;370.05988
1.271;-0.032719836;1.4341164;369.32331;368.46307
1.27105;-0.08997955;1.3973442;366.51629;366.06786
1.2711;-0.065439673;1.4096016;364.11028;363.27345
1.27115;-0.012269939;1.4463739;361.70426;360.87824
1.2712;0.13496933;1.5485189;358.49624;357.68463
1.27125;-0.032719836;1.4382022;355.28822;354.89022
1.2713;-0.053169734;1.4259448;352.88221;351.69661
1.27135;-0.15541922;1.3442288;349.67419;348.50299
1.2714;-0.098159509;1.381001;346.46617;345.70858
1.27145;0.08997955;1.5117467;344.06015;343.31337
1.2715;-0.040899796;1.421859;341.65414;340.11976
1.27155;-0.09406953;1.3850868;338.04511;336.92615
1.2716;-0.14314928;1.3524004;334.83709;334.13174
1.27165;-0.18813906;1.3115424;332.83208;331.33733
1.2717;0.077709611;1.4872319;329.62406;328.14371
1.27175;-0.08997955;1.3891726;326.41604;326.1477
1.2718;-0.065439673;1.3973442;324.01003;323.35329
1.27185;-0.040899796;1.4341164;323.20802;322.55489
1.2719;0.057259714;1.5240041;322.80702;322.15569
1.27195;0.15541922;1.5852911;323.20802;322.55489
1.272;0.13087935;1.5730337;323.60902;322.15569
1.27205;0.085889571;1.5607763;322.80702;321.75649
1.2721;0.081799591;1.5607763;323.20802;322.55489
1.27215;0.68711656;2.1082737;341.25313;340.51896
1.2722;0.53578732;1.9530133;346.06516;345.30938
1.27225;0.29856851;1.7773238;349.67419;348.9022
1.2723;0.25766871;1.7487232;353.68421;352.09581
1.27235;0.27402863;1.7568948;356.49123;355.28942
1.2724;0.22903885;1.7160368;360.10025;358.88224
1.27245;0.39672802;1.834525;364.11028;362.87425
1.2725;0.29038855;1.7650664;367.7193;366.46707
1.27255;0.22494888;1.7160368;370.12531;369.66068
1.2726;0.39672802;1.8508682;374.53634;373.25349
1.27265;0.33128834;1.7977528;377.74436;376.0479
1.2727;0.42535787;1.8590398;380.15038;379.64072
1.27275;0.25766871;1.7405516;383.3584;382.83433
1.2728;0.32310838;1.7854954;386.16541;385.62874
1.27285;0.42126789;1.8590398;389.37343;388.82236
1.2729;0.28220859;1.752809;390.97744;390.01996
1.27295;0.43762781;1.854954;392.58145;391.21756
1.273;0.27811861;1.7405516;394.58647;393.61277
1.27305;0.32719836;1.773238;395.78947;394.81038
1.2731;0.33128834;1.7691522;396.59148;396.00798
1.27315;0.21267894;1.6833504;397.79449;396.40719
1.2732;0.36809816;1.7854954;398.19549;397.20559
1.27325;0.24539877;1.691522;398.59649;398.40319
1.2733;0.22494888;1.6792646;399.7995;398.40319
1.27335;0.3190184;1.7446374;399.7995;398.8024
1.2734;0.2208589;1.6792646;400.2005;398.8024
1.27345;0.3599182;1.773238;399.7995;398.8024
1.2735;0.23312883;1.6833504;399.3985;398.40319
1.27355;0.24948875;1.6833504;398.99749;398.00399
1.2736;0.3803681;1.7814096;398.99749;397.20559
1.27365;0.25357873;1.6792646;397.39348;396.40719
1.2737;0.3803681;1.7609806;395.78947;395.20958
1.27375;0.22494888;1.6547497;394.98747;393.21357
1.2738;0.29038855;1.691522;393.78446;393.21357
1.27385;0.21267894;1.6302349;390.97744;391.61677
1.2739;0.15132924;1.5852911;389.77444;389.22156
1.27395;0.3190184;1.6996936;388.17043;386.82635
1.274;0.14723926;1.5730337;385.76441;386.02794
1.27405;0.2208589;1.6261491;384.5614;383.23353
1.2741;0.20449898;1.6179775;382.95739;381.63673
